===============================================================================================================
Blast BS
===============================================================================================================
Bit: 0, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 1, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 2, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 3, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 4, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 5, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 6, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 7, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 8, MSE: nan, MAE: nan, MRE: nan, PAP: 0.998
Bit: 49, MSE: 8.632589120152806e-31, MAE: 9.640151924591359e-14, MRE: 9.651768657995161e-14, PAP: 0.000
Bit: 50, MSE: 6.933863110395353e-31, MAE: 5.49313680961758e-14, MRE: 5.5018623864419344e-14, PAP: 0.000
Bit: 51, MSE: 6.155387426094051e-31, MAE: 1.7696955012524996e-14, MRE: 1.7626893421690523e-14, PAP: 0.000
Bit: 52, MSE: 6.077002914068341e-31, MAE: 1.0538578556826486e-14, MRE: 1.0483149125039909e-14, PAP: 0.000
Bit: 53, MSE: 6.031349224971295e-31, MAE: 6.168676680573526e-15, MRE: 6.15411527956344e-15, PAP: 0.000
Bit: 54, MSE: 6.022769062483244e-31, MAE: 5.195843755245732e-15, MRE: 5.155098321583809e-15, PAP: 0.000
Bit: 55, MSE: 5.993905006929232e-31, MAE: 5.344930847123968e-15, MRE: 5.294872715483049e-15, PAP: 0.000
Bit: 56, MSE: 5.974670310022362e-31, MAE: 5.0330110449673766e-15, MRE: 4.984038681290058e-15, PAP: 0.000
Bit: 57, MSE: 5.989160921145113e-31, MAE: 5.185394597366907e-15, MRE: 5.136994758344842e-15, PAP: 0.000
Bit: 58, MSE: 5.978120976301411e-31, MAE: 5.2427198385076836e-15, MRE: 5.2048836277535454e-15, PAP: 0.000
Bit: 59, MSE: 5.985012050712139e-31, MAE: 5.222674145007507e-15, MRE: 5.180546561825307e-15, PAP: 0.000
Bit: 60, MSE: 5.953484861208491e-31, MAE: 5.156369158814616e-15, MRE: 5.088851146707437e-15, PAP: 0.000
Bit: 61, MSE: 5.944292718110306e-31, MAE: 5.112869192352695e-15, MRE: 5.063571557986496e-15, PAP: 0.000
